Population,Replicate,Treatment,Block,Generation,Female_offspring,Male_offspring,,
1,5,Female,1,6,NA,NA,,
1,6,Female,1,6,2,2,,
1,8,Female,1,6,0,0,,
13,1,Male,1,6,34,42,,
13,2,Male,1,6,0,0,,
13,4,Male,1,6,0,0,,
13,5,Male,1,6,29,41,,
25,1,Control,1,6,16,12,,
25,3,Control,1,6,20,13,,
25,4,Control,1,6,0,0,,
25,5,Control,1,6,0,0,,
25,6,Control,1,6,0,0,,
2,1,Female,1,6,0,0,,
2,3,Female,1,6,0,0,,
2,5,Female,1,6,0,0,,
2,6,Female,1,6,34,39,,
2,7,Female,1,6,0,0,,
2,8,Female,1,6,42,40,,
2,10,Female,1,6,0,0,,
14,2,Male,1,6,45,41,,
14,3,Male,1,6,37,34,,
14,5,Male,1,6,28,23,,
14,6,Male,1,6,0,0,,
14,7,Male,1,6,0,0,,
26,2,Control,1,6,0,0,,
26,6,Control,1,6,0,0,,
26,8,Control,1,6,0,0,,
26,9,Control,1,6,0,0,,
26,10,Control,1,6,0,0,,
3,3,Female,1,6,0,0,,
3,5,Female,1,6,0,0,,
3,6,Female,1,6,0,0,,
3,7,Female,1,6,38,48,,
3,8,Female,1,6,0,0,,
3,10,Female,1,6,0,0,,
15,1,Male,1,6,42,38,,
15,2,Male,1,6,0,0,,
15,3,Male,1,6,25,21,,
15,4,Male,1,6,0,0,,
15,5,Male,1,6,0,0,,
27,2,Control,1,6,0,0,,
27,3,Control,1,6,0,0,,
27,4,Control,1,6,5,7,,
27,5,Control,1,6,14,17,,
27,6,Control,1,6,27,42,,
11,1,Female,1,6,26,14,,
11,3,Female,1,6,0,0,,
11,4,Female,1,6,0,0,,
11,5,Female,1,6,26,23,,
11,7,Female,1,6,0,0,,
23,1,Male,1,6,15,26,,
23,2,Male,1,6,35,32,,
23,3,Male,1,6,31,41,,
23,4,Male,1,6,9,13,,
23,5,Male,1,6,7,8,,
35,1,Control,1,6,29,29,,
35,2,Control,1,6,0,0,,
35,3,Control,1,6,0,0,,
35,4,Control,1,6,0,0,,
35,5,Control,1,6,15,14,,
12,6,Female,1,6,41,39,,
12,7,Female,1,6,23,25,,
12,8,Female,1,6,0,0,,
12,9,Female,1,6,56,53,,
24,1,Male,1,6,0,0,,
24,2,Male,1,6,7,15,,
24,4,Male,1,6,0,0,,
24,6,Male,1,6,24,24,,
24,8,Male,1,6,0,0,,
36,1,Control,1,6,21,24,,
36,2,Control,1,6,33,25,,
36,3,Control,1,6,0,0,,
36,4,Control,1,6,32,39,,
36,5,Control,1,6,0,0,,
4,1,Female,1,6,35,31,,
4,2,Female,1,6,46,25,,
4,7,Female,1,6,17,27,,
4,9,Female,1,6,38,34,,
16,1,Male,1,7,0,0,,
16,2,Male,1,7,27,31,,
16,3,Male,1,7,16,29,,
16,4,Male,1,7,0,0,,
16,5,Male,1,7,17,17,,
16,7,Male,1,7,4,2,,
28,1,Control,1,7,0,0,,
28,2,Control,1,7,13,14,,
28,4,Control,1,7,0,0,,
28,5,Control,1,7,0,0,,
28,6,Control,1,7,35,28,,
5,2,Female,1,7,31,40,,
5,3,Female,1,7,0,0,,
5,4,Female,1,7,11,18,,
5,5,Female,1,7,19,21,,
5,7,Female,1,7,0,0,,
17,1,Male,1,7,0,0,,
17,3,Male,1,7,36,19,,
17,4,Male,1,7,0,0,,
17,5,Male,1,7,0,0,,
17,6,Male,1,7,0,0,,
29,1,Control,1,7,0,0,,
29,3,Control,1,7,31,32,,
29,4,Control,1,7,0,0,,
29,5,Control,1,7,0,0,,
29,7,Control,1,7,0,0,,
6,1,Female,1,7,0,0,,
6,6,Female,1,7,17,18,,
6,7,Female,1,7,20,34,,
6,9,Female,1,7,33,36,,
6,10,Female,1,7,0,0,,
18,2,Male,1,7,44,38,,
18,3,Male,1,7,23,37,,
18,4,Male,1,7,0,0,,
18,6,Male,1,7,0,0,,
18,7,Male,1,7,3,2,,
30,1,Control,1,7,34,38,,
30,3,Control,1,7,0,0,,
30,4,Control,1,7,0,0,,
30,6,Control,1,7,0,0,,
30,7,Control,1,7,18,15,,
7,3,Female,1,7,0,0,,
7,4,Female,1,7,0,0,,
7,5,Female,1,7,0,0,,
7,6,Female,1,7,0,0,,
7,8,Female,1,7,0,0,,
19,1,Male,1,7,32,29,,
19,3,Male,1,7,27,31,,
19,5,Male,1,7,23,18,,
19,6,Male,1,7,30,29,,
19,8,Male,1,7,24,36,,
31,4,Control,1,7,0,0,,
31,5,Control,1,7,0,0,,
31,6,Control,1,7,23,22,,
31,7,Control,1,7,0,0,,
31,8,Control,1,7,18,15,,
8,3,Female,1,7,0,0,,
8,4,Female,1,7,0,0,,
8,7,Female,1,7,43,29,,
8,10,Female,1,7,44,46,,
20,2,Male,1,7,0,0,,
20,4,Male,1,7,0,0,,
20,5,Male,1,7,0,0,,
20,6,Male,1,7,10,23,,
20,7,Male,1,7,0,0,,
32,2,Control,1,7,0,0,,
32,3,Control,1,7,12,15,,
32,4,Control,1,7,21,25,,
32,5,Control,1,7,0,0,,
32,6,Control,1,7,32,25,,
9,1,Female,1,7,0,0,,
9,2,Female,1,7,18,26,,
9,4,Female,1,7,0,0,,
9,5,Female,1,7,12,9,,
9,6,Female,1,7,0,0,,
21,1,Male,1,7,31,31,,
21,2,Male,1,7,0,0,,
21,3,Male,1,7,23,15,,
21,5,Male,1,7,1,0,,
21,7,Male,1,7,0,0,,
33,4,Control,1,7,0,0,,
33,5,Control,1,7,0,0,,
33,7,Control,1,7,0,0,,
33,8,Control,1,7,0,0,,
10,2,Female,1,7,0,0,,
10,3,Female,1,7,0,0,,
10,4,Female,1,7,0,0,,
10,5,Female,1,7,17,33,,
10,6,Female,1,7,0,0,,
22,3,Male,1,7,0,0,,
22,6,Male,1,7,23,18,,
22,8,Male,1,7,0,0,,
22,9,Male,1,7,10,22,,
34,1,Control,1,7,0,0,,
34,2,Control,1,7,0,0,,
34,3,Control,1,7,0,0,,
34,5,Control,1,7,0,0,,
34,6,Control,1,7,0,0,,
1,1,Female,1,7,0,0,,
1,4,Female,1,7,0,0,,
1,5,Female,1,7,0,0,,
1,6,Female,1,7,18,18,,
1,8,Female,1,7,0,0,,
13,1,Male,1,7,6,6,,
13,2,Male,1,7,0,0,,
13,4,Male,1,7,0,0,,
13,5,Male,1,7,29,27,,
25,1,Control,1,7,0,0,,
25,3,Control,1,7,7,6,,
25,4,Control,1,7,0,0,,
25,5,Control,1,7,0,0,,
25,6,Control,1,7,0,0,,
2,1,Female,1,7,0,0,,
2,3,Female,1,7,0,0,,
2,5,Female,1,7,0,0,,
2,6,Female,1,7,0,0,,
2,7,Female,1,7,0,0,,
2,8,Female,1,7,3,1,,
2,10,Female,1,7,0,0,,
14,2,Male,1,7,35,56,,
14,3,Male,1,7,28,35,,
14,5,Male,1,7,5,8,,
14,6,Male,1,7,0,0,,
14,7,Male,1,7,0,0,,
26,2,Control,1,7,0,0,,
26,6,Control,1,7,0,0,,
26,8,Control,1,7,0,0,,
26,9,Control,1,7,0,0,,
26,10,Control,1,7,0,0,,
3,3,Female,1,7,0,0,,
3,5,Female,1,7,0,0,,
3,6,Female,1,7,0,0,,
3,7,Female,1,7,16,20,,
3,8,Female,1,7,0,0,,
3,10,Female,1,7,0,0,,
15,1,Male,1,7,30,38,,
15,2,Male,1,7,0,0,,
15,3,Male,1,7,23,23,,
15,4,Male,1,7,0,0,,
15,5,Male,1,7,0,0,,
27,2,Control,1,7,0,0,,
27,3,Control,1,7,0,0,,
27,4,Control,1,7,0,0,,
27,5,Control,1,7,14,14,,
27,6,Control,1,7,5,7,,
11,1,Female,1,7,0,0,,
11,3,Female,1,7,0,0,,
11,4,Female,1,7,0,0,,
11,5,Female,1,7,36,40,,
11,7,Female,1,7,0,0,,
23,1,Male,1,7,5,14,,
23,2,Male,1,7,21,26,,
23,3,Male,1,7,12,17,,
23,4,Male,1,7,0,0,,
23,5,Male,1,7,24,28,,
35,1,Control,1,7,21,19,,
35,2,Control,1,7,0,0,,
35,3,Control,1,7,0,0,,
35,4,Control,1,7,0,0,,
35,5,Control,1,7,3,7,,
12,6,Female,1,7,21,30,,
12,7,Female,1,7,7,6,,
12,8,Female,1,7,0,0,,
12,9,Female,1,7,21,36,,
24,1,Male,1,7,0,0,,
24,2,Male,1,7,24,36,,
24,4,Male,1,7,0,0,,
24,6,Male,1,7,0,0,,
24,8,Male,1,7,0,0,,
36,1,Control,1,7,2,6,,
36,2,Control,1,7,19,16,,
36,3,Control,1,7,0,0,,
36,4,Control,1,7,10,14,,
36,5,Control,1,7,0,0,,
4,1,Female,1,7,32,40,,
4,2,Female,1,7,41,20,,
4,7,Female,1,7,28,29,,
4,9,Female,1,7,38,23,,
16,1,Male,1,8,0,0,,
16,2,Male,1,8,10,21,,
16,3,Male,1,8,20,17,,
16,4,Male,1,8,0,0,,
16,5,Male,1,8,14,18,,
16,7,Male,1,8,0,0,,
28,1,Control,1,8,0,0,,
28,2,Control,1,8,8,21,,
28,4,Control,1,8,0,0,,
28,5,Control,1,8,0,0,,
28,6,Control,1,8,19,17,,
5,2,Female,1,8,11,14,,
5,3,Female,1,8,0,0,,
5,4,Female,1,8,6,6,,
5,5,Female,1,8,0,0,,
5,7,Female,1,8,0,0,,
17,1,Male,1,8,0,0,,
17,3,Male,1,8,39,33,,
17,4,Male,1,8,0,0,,
17,5,Male,1,8,0,0,,
17,6,Male,1,8,0,0,,
29,1,Control,1,8,0,0,,
29,3,Control,1,8,8,11,,
29,4,Control,1,8,0,0,,
29,5,Control,1,8,0,0,,
29,7,Control,1,8,0,0,,
6,1,Female,1,8,0,0,,
6,6,Female,1,8,3,3,,
6,7,Female,1,8,32,26,,
6,9,Female,1,8,13,19,,
6,10,Female,1,8,0,0,,
18,2,Male,1,8,9,13,,
18,3,Male,1,8,1,0,,
18,4,Male,1,8,0,0,,
18,6,Male,1,8,0,0,,
18,7,Male,1,8,9,7,,
30,1,Control,1,8,11,19,,
30,3,Control,1,8,0,0,,
30,4,Control,1,8,0,0,,
30,6,Control,1,8,0,0,,
30,7,Control,1,8,16,17,,
7,3,Female,1,8,0,0,,
7,4,Female,1,8,0,0,,
7,5,Female,1,8,0,0,,
7,6,Female,1,8,0,0,,
7,8,Female,1,8,0,0,,
19,1,Male,1,8,2,2,,
19,3,Male,1,8,16,21,,
19,5,Male,1,8,11,17,,
19,6,Male,1,8,9,17,,
19,8,Male,1,8,12,14,,
31,4,Control,1,8,0,0,,
31,5,Control,1,8,0,0,,
31,6,Control,1,8,24,20,,
31,7,Control,1,8,0,0,,
31,8,Control,1,8,11,14,,
8,3,Female,1,8,0,0,,
8,4,Female,1,8,0,0,,
8,7,Female,1,8,8,4,,
8,10,Female,1,8,16,19,,
20,2,Male,1,8,0,0,,
20,4,Male,1,8,0,0,,
20,5,Male,1,8,0,0,,
20,6,Male,1,8,2,4,,
20,7,Male,1,8,0,0,,
32,2,Control,1,8,0,0,,
32,3,Control,1,8,0,2,,
32,4,Control,1,8,0,0,,
32,5,Control,1,8,0,0,,
32,6,Control,1,8,18,18,,
9,1,Female,1,8,0,0,,
9,2,Female,1,8,0,3,,
9,4,Female,1,8,0,0,,
9,5,Female,1,8,11,17,,
9,6,Female,1,8,0,0,,
21,1,Male,1,8,33,29,,
21,2,Male,1,8,0,0,,
21,3,Male,1,8,18,31,,
21,5,Male,1,8,0,0,,
21,7,Male,1,8,0,0,,
33,4,Control,1,8,0,0,,
33,5,Control,1,8,0,0,,
33,7,Control,1,8,0,0,,
33,8,Control,1,8,0,0,,
10,2,Female,1,8,0,0,,
10,3,Female,1,8,0,0,,
10,4,Female,1,8,0,0,,
10,5,Female,1,8,17,15,,
10,6,Female,1,8,0,0,,
22,3,Male,1,8,0,0,,
22,6,Male,1,8,10,13,,
22,8,Male,1,8,0,0,,
22,9,Male,1,8,5,4,,
34,1,Control,1,8,0,0,,
34,2,Control,1,8,0,0,,
34,3,Control,1,8,0,0,,
34,5,Control,1,8,0,0,,
34,6,Control,1,8,0,0,,
1,1,Female,1,8,0,0,,
1,4,Female,1,8,0,0,,
1,5,Female,1,8,0,0,,
1,6,Female,1,8,2,3,,
1,8,Female,1,8,0,0,,
13,1,Male,1,8,27,24,,
13,2,Male,1,8,0,0,,
13,4,Male,1,8,0,0,,
13,5,Male,1,8,0,0,,
25,1,Control,1,8,0,0,,
25,3,Control,1,8,0,2,,
25,4,Control,1,8,0,0,,
25,5,Control,1,8,0,0,,
25,6,Control,1,8,0,0,,
2,1,Female,1,8,0,0,,
2,3,Female,1,8,0,0,,
2,5,Female,1,8,0,0,,
2,6,Female,1,8,0,0,,
2,7,Female,1,8,0,0,,
2,8,Female,1,8,18,12,,
2,10,Female,1,8,0,0,,
14,2,Male,1,8,11,15,,
14,3,Male,1,8,25,21,,
14,5,Male,1,8,33,42,,
14,6,Male,1,8,0,0,,
14,7,Male,1,8,0,0,,
26,2,Control,1,8,0,0,,
26,6,Control,1,8,0,0,,
26,8,Control,1,8,0,0,,
26,9,Control,1,8,0,0,,
26,10,Control,1,8,0,0,,
3,3,Female,1,8,0,0,,
3,5,Female,1,8,0,0,,
3,6,Female,1,8,0,0,,
3,7,Female,1,8,17,26,,
3,8,Female,1,8,0,0,,
3,10,Female,1,8,0,0,,
15,1,Male,1,8,39,34,,
15,2,Male,1,8,0,0,,
15,3,Male,1,8,22,25,,
15,4,Male,1,8,0,0,,
15,5,Male,1,8,0,0,,
27,2,Control,1,8,0,0,,
27,3,Control,1,8,0,0,,
27,4,Control,1,8,0,0,,
27,5,Control,1,8,5,7,,
27,6,Control,1,8,0,0,,
11,1,Female,1,8,0,0,,
11,3,Female,1,8,0,0,,
11,4,Female,1,8,0,0,,
11,5,Female,1,8,10,12,,
11,7,Female,1,8,0,0,,
23,1,Male,1,8,7,10,,
23,2,Male,1,8,5,8,,
23,3,Male,1,8,6,15,,
23,4,Male,1,8,0,0,,
23,5,Male,1,8,0,3,,
35,1,Control,1,8,6,11,,
35,2,Control,1,8,0,0,,
35,3,Control,1,8,0,0,,
35,4,Control,1,8,0,0,,
35,5,Control,1,8,12,21,,
12,6,Female,1,8,,3,,
12,7,Female,1,8,0,0,,
12,8,Female,1,8,0,0,,
12,9,Female,1,8,31,28,,
24,1,Male,1,8,0,0,,
24,2,Male,1,8,22,39,,
24,4,Male,1,8,0,0,,
24,6,Male,1,8,0,0,,
24,8,Male,1,8,0,0,,
36,1,Control,1,8,5,5,,
36,2,Control,1,8,0,1,,
36,3,Control,1,8,0,0,,
36,4,Control,1,8,6,2,,
36,5,Control,1,8,0,0,,
4,1,Female,1,8,13,30,,
4,2,Female,1,8,13,10,,
4,7,Female,1,8,0,0,,
4,9,Female,1,8,20,19,,
16,1,Male,1,9,0,0,,
16,2,Male,1,9,23,25,,
16,3,Male,1,9,0,0,,
16,4,Male,1,9,0,0,,
16,5,Male,1,9,4,7,,
16,7,Male,1,9,0,0,,
28,1,Control,1,9,0,0,,
28,2,Control,1,9,17,20,,
28,4,Control,1,9,0,0,,
28,5,Control,1,9,0,0,,
28,6,Control,1,9,23,14,,
5,2,Female,1,9,14,33,,
5,3,Female,1,9,0,0,,
5,4,Female,1,9,24,20,,
5,5,Female,1,9,0,0,,
5,7,Female,1,9,0,0,,
17,1,Male,1,9,0,0,,
17,3,Male,1,9,14,13,,
17,4,Male,1,9,0,0,,
17,5,Male,1,9,0,0,,
17,6,Male,1,9,0,0,,
29,1,Control,1,9,0,0,,
29,3,Control,1,9,26,21,,
29,4,Control,1,9,0,0,,
29,5,Control,1,9,0,0,,
29,7,Control,1,9,0,0,,
6,1,Female,1,9,0,0,,
6,6,Female,1,9,20,11,,
6,7,Female,1,9,10,16,,
6,9,Female,1,9,34,16,,
6,10,Female,1,9,0,0,,
18,2,Male,1,9,21,17,,
18,3,Male,1,9,0,0,,
18,4,Male,1,9,0,0,,
18,6,Male,1,9,0,0,,
18,7,Male,1,9,9,10,,
30,1,Control,1,9,14,21,,
30,3,Control,1,9,0,0,,
30,4,Control,1,9,0,0,,
30,6,Control,1,9,0,0,,
30,7,Control,1,9,28,37,,
7,3,Female,1,9,0,0,,
7,4,Female,1,9,0,0,,
7,5,Female,1,9,0,0,,
7,6,Female,1,9,0,0,,
7,8,Female,1,9,0,0,,
19,1,Male,1,9,4,8,,
19,3,Male,1,9,11,20,,
19,5,Male,1,9,5,12,,
19,6,Male,1,9,7,14,,
19,8,Male,1,9,0,0,,
31,4,Control,1,9,0,0,,
31,5,Control,1,9,0,0,,
31,6,Control,1,9,1,1,,
31,7,Control,1,9,0,0,,
31,8,Control,1,9,5,12,,
8,3,Female,1,9,0,0,,
8,4,Female,1,9,0,0,,
8,7,Female,1,9,11,18,,
8,10,Female,1,9,4,7,,
20,2,Male,1,9,0,0,,
20,4,Male,1,9,0,0,,
20,5,Male,1,9,0,0,,
20,6,Male,1,9,9,10,,
20,7,Male,1,9,0,0,,
32,2,Control,1,9,0,0,,
32,3,Control,1,9,0,0,,
32,4,Control,1,9,0,0,,
32,5,Control,1,9,0,0,,
32,6,Control,1,9,7,9,,
9,1,Female,1,9,0,0,,
9,2,Female,1,9,0,0,,
9,4,Female,1,9,0,0,,
9,5,Female,1,9,8,8,,
9,6,Female,1,9,0,0,,
21,1,Male,1,9,31,40,,
21,2,Male,1,9,0,0,,
21,3,Male,1,9,7,10,,
21,5,Male,1,9,0,0,,
21,7,Male,1,9,0,0,,
33,4,Control,1,9,0,0,,
33,5,Control,1,9,0,0,,
33,7,Control,1,9,0,0,,
33,8,Control,1,9,0,0,,
10,2,Female,1,9,0,0,,
10,3,Female,1,9,0,0,,
10,4,Female,1,9,0,0,,
10,5,Female,1,9,5,3,,
10,6,Female,1,9,0,0,,
22,3,Male,1,9,0,0,,
22,6,Male,1,9,5,5,,
22,8,Male,1,9,0,0,,
22,9,Male,1,9,0,0,,
34,1,Control,1,9,0,0,,
34,2,Control,1,9,0,0,,
34,3,Control,1,9,0,0,,
34,5,Control,1,9,0,0,,
34,6,Control,1,9,0,0,,
1,1,Female,1,9,0,0,,
1,4,Female,1,9,0,0,,
1,5,Female,1,9,0,0,,
1,6,Female,1,9,4,4,,
1,8,Female,1,9,0,0,,
13,1,Male,1,9,8,19,,
13,2,Male,1,9,0,0,,
13,4,Male,1,9,0,0,,
13,5,Male,1,9,0,0,,
25,1,Control,1,9,0,0,,
25,3,Control,1,9,0,0,,
25,4,Control,1,9,0,0,,
25,5,Control,1,9,0,0,,
25,6,Control,1,9,0,0,,
2,1,Female,1,9,0,0,,
2,3,Female,1,9,0,0,,
2,5,Female,1,9,0,0,,
2,6,Female,1,9,0,0,,
2,7,Female,1,9,0,0,,
2,8,Female,1,9,0,0,,
2,10,Female,1,9,0,0,,
14,2,Male,1,9,33,24,,
14,3,Male,1,9,21,22,,
14,5,Male,1,9,23,22,,
14,6,Male,1,9,0,0,,
14,7,Male,1,9,0,0,,
26,2,Control,1,9,0,0,,
26,6,Control,1,9,0,0,,
26,8,Control,1,9,0,0,,
26,9,Control,1,9,0,0,,
26,10,Control,1,9,0,0,,
3,3,Female,1,9,0,0,,
3,5,Female,1,9,0,0,,
3,6,Female,1,9,0,0,,
3,7,Female,1,9,4,4,,
3,8,Female,1,9,0,0,,
3,10,Female,1,9,0,0,,
15,1,Male,1,9,24,29,,
15,2,Male,1,9,0,0,,
15,3,Male,1,9,7,2,,
15,4,Male,1,9,0,0,,
15,5,Male,1,9,0,0,,
27,2,Control,1,9,0,0,,
27,3,Control,1,9,0,0,,
27,4,Control,1,9,0,0,,
27,5,Control,1,9,0,0,,
27,6,Control,1,9,0,0,,
11,1,Female,1,9,0,0,,
11,3,Female,1,9,0,0,,
11,4,Female,1,9,0,0,,
11,5,Female,1,9,11,12,,
11,7,Female,1,9,0,0,,
23,1,Male,1,9,4,5,,
23,2,Male,1,9,11,11,,
23,3,Male,1,9,0,0,,
23,4,Male,1,9,0,0,,
23,5,Male,1,9,0,0,,
35,1,Control,1,9,11,12,,
35,2,Control,1,9,0,0,,
35,3,Control,1,9,0,0,,
35,4,Control,1,9,0,0,,
35,5,Control,1,9,8,8,,
12,6,Female,1,9,21,23,,
12,7,Female,1,9,0,0,,
12,8,Female,1,9,0,0,,
12,9,Female,1,9,9,9,,
24,1,Male,1,9,0,0,,
24,2,Male,1,9,22,12,,
24,4,Male,1,9,0,0,,
24,6,Male,1,9,0,0,,
24,8,Male,1,9,0,0,,
36,1,Control,1,9,0,0,,
36,2,Control,1,9,0,0,,
36,3,Control,1,9,0,0,,
36,4,Control,1,9,0,0,,
36,5,Control,1,9,0,0,,
4,1,Female,1,9,27,14,,
4,2,Female,1,9,13,10,,
4,7,Female,1,9,0,0,,
4,9,Female,1,9,16,17,,
16,1,Male,1,10,0,0,,
16,2,Male,1,10,4,11,,
16,3,Male,1,10,0,0,,
16,4,Male,1,10,0,0,,
16,5,Male,1,10,10,13,,
16,7,Male,1,10,0,0,,
28,1,Control,1,10,0,0,,
28,2,Control,1,10,7,13,,
28,4,Control,1,10,0,0,,
28,5,Control,1,10,0,0,,
28,6,Control,1,10,7,5,,
5,2,Female,1,10,15,20,,
5,3,Female,1,10,0,0,,
5,4,Female,1,10,20,21,,
5,5,Female,1,10,0,0,,
5,7,Female,1,10,0,0,,
17,1,Male,1,10,0,0,,
17,3,Male,1,10,10,15,,
17,4,Male,1,10,0,0,,
17,5,Male,1,10,0,0,,
17,6,Male,1,10,0,0,,
29,1,Control,1,10,0,0,,
29,3,Control,1,10,0,0,,
29,4,Control,1,10,0,0,,
29,5,Control,1,10,0,0,,
29,7,Control,1,10,0,0,,
6,1,Female,1,10,0,0,,
6,6,Female,1,10,0,2,,
6,7,Female,1,10,0,0,,
6,9,Female,1,10,9,19,,
6,10,Female,1,10,0,0,,
18,2,Male,1,10,7,12,,
18,3,Male,1,10,0,0,,
18,4,Male,1,10,0,0,,
18,6,Male,1,10,0,0,,
18,7,Male,1,10,0,1,,
30,1,Control,1,10,9,12,,
30,3,Control,1,10,0,0,,
30,4,Control,1,10,0,0,,
30,6,Control,1,10,0,0,,
30,7,Control,1,10,0,0,,
7,3,Female,1,10,0,0,,
7,4,Female,1,10,0,0,,
7,5,Female,1,10,0,0,,
7,6,Female,1,10,0,0,,
7,8,Female,1,10,0,0,,
19,1,Male,1,10,16,8,,
19,3,Male,1,10,0,0,,
19,5,Male,1,10,1,1,,
19,6,Male,1,10,1,0,,
19,8,Male,1,10,0,0,,
31,4,Control,1,10,0,0,,
31,5,Control,1,10,0,0,,
31,6,Control,1,10,0,0,,
31,7,Control,1,10,0,0,,
31,8,Control,1,10,0,0,,
8,3,Female,1,10,0,0,,
8,4,Female,1,10,0,0,,
8,7,Female,1,10,2,8,,
8,10,Female,1,10,9,15,,
20,2,Male,1,10,0,0,,
20,4,Male,1,10,0,0,,
20,5,Male,1,10,0,0,,
20,6,Male,1,10,0,0,,
20,7,Male,1,10,0,0,,
32,2,Control,1,10,0,0,,
32,3,Control,1,10,0,0,,
32,4,Control,1,10,0,0,,
32,5,Control,1,10,0,0,,
32,6,Control,1,10,8,12,,
9,1,Female,1,10,0,0,,
9,2,Female,1,10,0,0,,
9,4,Female,1,10,0,0,,
9,5,Female,1,10,0,0,,
9,6,Female,1,10,0,0,,
21,1,Male,1,10,0,0,,
21,2,Male,1,10,0,0,,
21,3,Male,1,10,11,30,,
21,5,Male,1,10,0,0,,
21,7,Male,1,10,0,0,,
33,4,Control,1,10,0,0,,
33,5,Control,1,10,0,0,,
33,7,Control,1,10,0,0,,
33,8,Control,1,10,0,0,,
10,2,Female,1,10,0,0,,
10,3,Female,1,10,0,0,,
10,4,Female,1,10,0,0,,
10,5,Female,1,10,0,0,,
10,6,Female,1,10,0,0,,
22,3,Male,1,10,0,0,,
22,6,Male,1,10,11,6,,
22,8,Male,1,10,0,0,,
22,9,Male,1,10,0,0,,
34,1,Control,1,10,0,0,,
34,2,Control,1,10,0,0,,
34,3,Control,1,10,0,0,,
34,5,Control,1,10,0,0,,
34,6,Control,1,10,0,0,,
1,1,Female,1,10,0,0,,
1,4,Female,1,10,0,0,,
1,5,Female,1,10,0,0,,
1,6,Female,1,10,0,2,,
1,8,Female,1,10,0,0,,
13,1,Male,1,10,18,28,,
13,2,Male,1,10,0,0,,
13,4,Male,1,10,0,0,,
13,5,Male,1,10,0,0,,
25,1,Control,1,10,0,0,,
25,3,Control,1,10,0,0,,
25,4,Control,1,10,0,0,,
25,5,Control,1,10,0,0,,
25,6,Control,1,10,0,0,,
2,1,Female,1,10,0,0,,
2,3,Female,1,10,0,0,,
2,5,Female,1,10,0,0,,
2,6,Female,1,10,0,0,,
2,7,Female,1,10,0,0,,
2,8,Female,1,10,0,0,,
2,10,Female,1,10,0,0,,
14,2,Male,1,10,4,4,,
14,3,Male,1,10,13,15,,
14,5,Male,1,10,4,11,,
14,6,Male,1,10,0,0,,
14,7,Male,1,10,0,0,,
26,2,Control,1,10,0,0,,
26,6,Control,1,10,0,0,,
26,8,Control,1,10,0,0,,
26,9,Control,1,10,0,0,,
26,10,Control,1,10,0,0,,
3,3,Female,1,10,0,0,,
3,5,Female,1,10,0,0,,
3,6,Female,1,10,0,0,,
3,7,Female,1,10,2,0,,
3,8,Female,1,10,0,0,,
3,10,Female,1,10,0,0,,
15,1,Male,1,10,0,0,,
15,2,Male,1,10,0,0,,
15,3,Male,1,10,4,3,,
15,4,Male,1,10,0,0,,
15,5,Male,1,10,0,0,,
27,2,Control,1,10,0,0,,
27,3,Control,1,10,0,0,,
27,4,Control,1,10,0,0,,
27,5,Control,1,10,0,0,,
27,6,Control,1,10,0,0,,
11,1,Female,1,10,0,0,,
11,3,Female,1,10,0,0,,
11,4,Female,1,10,0,0,,
11,5,Female,1,10,1,0,,
11,7,Female,1,10,0,0,,
23,1,Male,1,10,6,1,,
23,2,Male,1,10,0,0,,
23,3,Male,1,10,0,0,,
23,4,Male,1,10,0,0,,
23,5,Male,1,10,0,0,,
35,1,Control,1,10,10,17,,
35,2,Control,1,10,0,0,,
35,3,Control,1,10,0,0,,
35,4,Control,1,10,0,0,,
35,5,Control,1,10,9,17,,
12,6,Female,1,10,0,0,,
12,7,Female,1,10,0,0,,
12,8,Female,1,10,0,0,,
12,9,Female,1,10,18,25,,
24,1,Male,1,10,0,0,,
24,2,Male,1,10,0,0,,
24,4,Male,1,10,0,0,,
24,6,Male,1,10,0,0,,
24,8,Male,1,10,0,0,,
36,1,Control,1,10,0,0,,
36,2,Control,1,10,0,0,,
36,3,Control,1,10,0,0,,
36,4,Control,1,10,0,0,,
36,5,Control,1,10,0,0,,
4,1,Female,1,10,0,1,,
4,2,Female,1,10,1,0,,
4,7,Female,1,10,0,0,,
4,9,Female,1,10,3,4,,
16,1,Male,1,11,0,0,,
16,2,Male,1,11,0,0,,
16,3,Male,1,11,0,0,,
16,4,Male,1,11,0,0,,
16,5,Male,1,11,10,13,,
16,7,Male,1,11,0,0,,
28,1,Control,1,11,0,0,,
28,2,Control,1,11,15,17,,
28,4,Control,1,11,0,0,,
28,5,Control,1,11,0,0,,
28,6,Control,1,11,19,35,,
5,2,Female,1,11,3,1,,
5,3,Female,1,11,0,0,,
5,4,Female,1,11,0,0,,
5,5,Female,1,11,0,0,,
5,7,Female,1,11,0,0,,
17,1,Male,1,11,0,0,,
17,3,Male,1,11,16,17,,
17,4,Male,1,11,0,0,,
17,5,Male,1,11,0,0,,
17,6,Male,1,11,0,0,,
29,1,Control,1,11,0,0,,
29,3,Control,1,11,0,0,,
29,4,Control,1,11,0,0,,
29,5,Control,1,11,0,0,,
29,7,Control,1,11,0,0,,
6,1,Female,1,11,0,0,,
6,6,Female,1,11,0,0,,
6,7,Female,1,11,0,0,,
6,9,Female,1,11,20,18,,
6,10,Female,1,11,0,0,,
